Код мониторинга;1141710488;;;;;;;;;код конкурента:;60792;1141710727;
кластер;Иркутск_ГМ_1;;;;;;;;;название конкурента:;ОКЕЙ наб.Верхняя 10, Иркутск;ОКЕЙ наб.Верхняя 10, Иркутск;ОКЕЙ наб.Верхняя 10, Иркутск
Группа текущая (код и название);Категория;Подкатегория;EPP;ЧТМ;Код товара;SAP код товара;Штрих-код товара;Наименование товара;Признак необходимости фотоконтроля;Примечания для мониторинга;Регулярная цена;Акционная цена;Примечание, название акции
15.Овощи;1501;150101;1;0;1,50101E+11;162743;2099999731574, 2462743000000;Огурцы среднеплодные гладкие вес ();X;EPP_KVI, средние гладкие, цена за кг;;;
15.Овощи;1501;150102;1;1;1,50102E+11;411017;14606068328204, 2060515000009, 4606068328207;Огурцы среднеплодные гладкие тепличные (Россия) 600г;X;EPP_INFO Только гладкий огурец, фасовка 600 гр;;;
15.Овощи;1502;150201;1;0;1,50201E+11;26417;2099999003770, 2099999004050, 2726417000000, 2800089000000, 2826417000000;Томаты вес. ();X;EPP_KVI Самые дешевые за кг круглые, весовые;;;
15.Овощи;1502;150201;0;0;1,50201E+11;239792;2401892000000, 2999999255028;Томаты розовые вес ();X;INFO , весовые, цена за кг;;;
15.Овощи;1502;150203;0;1;1,50204E+11;640302;14606068539594, 4606068539597;Томаты черри красные 200г;X;INFO цена за шт, самый дешевый черри. при отличии веса уп  требуется пересчет на 200гр;;;
15.Овощи;1503;150302;1;0;1,50302E+11;39906;2099999034200, 22903761, 2839906000000;Кабачки вес ();X;EPP_INFO, цена за кг;;;
15.Овощи;1504;150401;1;0;1,50401E+11;300884;2406349000000, 2999999336994;Свекла Эконом вес ();X;СЗТ_EPP_INFO самая дешевая, весовая , цена за кг;;;
15.Овощи;1504;150402;0;0;1,50402E+11;41424;2099999038420, 22904829, 2841424000000, 2903410414246, 4680005080564, 4680005080571;Морковь мытая вес ();X;INFO морковь мытая Цена за кг;;;
15.Овощи;1504;150402;1;0;1,50402E+11;303639;2406601000000, 2999999340106;Морковь Эконом вес ();X;СЗТ_EPP_KVI Самая дешевая, цена за кг;;;
15.Овощи;1504;150403;1;0;1,50403E+11;303640;2406602000000, 2999999340113, 4680005080175, 4680005080472;Лук Эконом вес ();X;СЗТ_EPP_KVI   Самая дешевая, урожайность не важна, цена за кг;;;
15.Овощи;1505;150504;0;0;1,50504E+11;11187;2711187000000, 2811187000000, 2877311000000, 2911187000012;Чеснок вес ();X;INFO цена за кг;;;
15.Овощи;1506;150601;0;0;1,50601E+11;118887;2099999274088, 2418887000000;Картофель белый мытый вес ();X;INFO мытый , весовой, цена за кг;;;
15.Овощи;1506;150601;1;0;1,50601E+11;300886;2406350000000, 2999999337205, 4680005080762;Картофель Эконом вес ();X;СЗТ_EPP_KVI   Самая дешевая, урожайность не важна, цена за кг;;;
15.Овощи;1506;150602;0;0;1,50602E+11;17273;14607034260085, 2099999084526, 2700000002254, 4607034260088, 4607043400352, 4607043405029, 4607123340042, 4607140560102, 4607151360104, 4607170540020, 4610014230636, 4610014230643, 4640000810290, 4680005080038, 4680005080106, 4680005080670, 4680005080779;Картофель сетка фас () 5000г;X;INFO_картофель в сетке фасовкой в 5 кг. Вносим цену за 5кг (если на ценнике цена за 1 кг - пересчитываем на 5 кг).;;;
15.Овощи;1507;150701;1;0;1,50701E+11;11189;2099999334836, 2711189000000, 2811189000000, 2911189000010;Капуста белокочанная вес;X;СЗТ_EPP_KVI   Самая дешевая, урожайность не важна, цена за кг;;;
15.Овощи;1507;150701;0;0;1,50701E+11;11749;2711749000000, 2811749000000, 2911749000016;Капуста цветная вес ();X;INFO Цена за кг;;;
15.Овощи;1508;150801;0;0;1,50801E+11;41203;2099999038154, 22904522, 2841203000000;Перец красный вес ();X;INFO_красный перец, кубовидный , цена за кг;;;
15.Овощи;1509;150901;0;0;1,50901E+11;259627;14607148820823, 4607001950035, 4607148820826, 4607811900091;Укроп () 30г;X;INFO Цена за шт, 30 гр. Если другой вес - пересчет на уп 30 гр;;;
15.Овощи;1509;150902;0;0;1,50902E+11;259630;14607148820816, 4607001950028, 4607148820819;Петрушка () 30г;X;INFO Цена за шт, 30 гр. Если другой вес - пересчет на уп 30 гр;;;
15.Овощи;1509;150904;0;0;1,50904E+11;342743;11924218992017, 1924218992010;Набор зелени (укроп, петрушка, зеленый лук) () 75г;X;INFO Цена за шт, 75 гр. Если другой вес - пересчет на уп 75 гр;;;
15.Овощи;1509;150906;0;0;1,50906E+11;247636;14607811900012, 4601111900058, 4607050060105, 4607050060129, 4607050060266, 4607050061973, 4607069019903, 4607069670036, 4607811900015, 4607811900022, 4607811902118, 4620003150128, 4620003150142, 4701380500147;Кинза свежая (Россия) 30г;X;INFO Цена за шт, 30 гр. Если другой вес - пересчет на уп 30 гр;;;
15.Овощи;1510;151001;0;0;1,51001E+11;364228;2410991000000, 2999999399487;Грибы шампиньоны вес ();X;INFO Цена за кг, весовой. Если упаковка - пересчет на кг;;;
15.Овощи;1513;151301;0;0;1,51301E+11;198359;14607017372859, 2999999042017, 4607017372852, 4627084751954, 4650118010628;Салат Айсберг кочан () 1шт;X;INFO Цена за шт, при персчете с кг цена за шт 300гр;;;
15.Овощи;1513;151303;0;1;1,51304E+11;580978;14606068461024, 4606068461027;Салат листовой в горшочке (ун) (Россия) 1шт;X;INFO Цена за шт;;;
